ID,Topic,Question,AnswerA,AnswerB,AnswerC,AnswerD,CorrectAnswer
1,Fuel,Which isotope is used as the primary nuclear fuel in the AP1000 reactor?,Uranium-235,Uranium-238,Plutonium-239,Thorium-232,0
2,Fuel,Why is nuclear fuel considered to be extremely energy dense?,Its high density allows it to store large amounts of thermal energy.,It burns at a much higher temperature than fossil fuels.,It contains a large amount of chemical energy in each fuel pellet.,A small mass of fuel releases a very large amount of energy through nuclear reactions.,3
3,Fuel,How are uranium fuel pellets arranged inside a fuel rod?,Packed loosely inside the rod with coolant flowing between them.,Stacked end-to-end inside a sealed metal tube.,Compressed into a single solid cylinder that fills the rod.,Suspended in liquid sodium inside the rod.,1
4,Fission,What particle must interact with a uranium-235 nucleus to initiate nuclear fission?,A proton,A gamma photon,A neutron,An electron,2
5,Fission,Why is energy released during a nuclear fission event?,The fission products have less total mass than the original nucleus with the missing mass converted into energy.,The uranium atoms undergo chemical combustion with oxygen.,The neutrons produced contain more kinetic energy than the original nucleus.,The nucleus absorbs energy from the surrounding coolant before splitting.,0
6,Fission,Why is a nuclear chain reaction able to continue after a fission event?,The fuel becomes hotter causing neighbouring nuclei to split automatically.,Each fission event releases neutrons that can trigger further fission events.,Gamma rays produced during fission directly split nearby nuclei.,The coolant transfers enough heat to surrounding fuel to sustain fission.,1
7,Reactor,What is the primary purpose of the reactor core?,To convert steam directly into electricity.,To generate heat through controlled nuclear fission.,To store spent nuclear fuel safely after use.,To cool the reactor using circulating water.,1
8,Reactor,Why are the primary and secondary water systems kept separate in a pressurised water reactor?,To allow the reactor to operate at two different pressures.,To improve the efficiency of the steam turbine.,To prevent radioactive primary coolant from reaching the turbine and other plant equipment.,To reduce the amount of uranium fuel required.,2
9,Reactor,What are the three engineered barriers that help prevent radioactive material escaping from the reactor?,Fuel pellets reactor pressure vessel and cooling towers.,Fuel cladding reactor coolant system and containment building.,Fuel rods turbine casing and containment building.,Fuel assemblies steam generator and containment building.,1
10,Heat,What is the primary purpose of the reactor coolant?,To slow down neutrons so that fission can occur.,To transfer heat away from the reactor core.,To generate electricity directly from the reactor core.,To remove radioactive waste products from the fuel.,1
11,Heat,What is the purpose of the steam generator in a pressurised water reactor?,To increase the pressure of the reactor coolant.,To transfer heat from the primary coolant to a separate water circuit to produce steam.,To generate electricity directly from the reactor coolant.,To remove radioactive particles from the primary coolant.,1
12,Heat,Why must the reactor continue to be cooled even after it has been shut down?,Residual steam pressure continues to increase indefinitely.,The fuel continues to undergo uncontrolled fission.,The reactor vessel must remain below room temperature.,Radioactive decay of fission products continues to produce heat.,3
13,Electricity,What device converts the heat from the reactor into steam?,The condenser.,The reactor pressure vessel.,The steam generator.,The cooling tower.,2
14,Electricity,What is the function of the turbine in a nuclear power station?,To convert mechanical energy into electrical energy.,To transfer heat from the reactor to the coolant.,To convert the energy of high-pressure steam into rotational mechanical energy.,To cool the steam before it enters the generator.,2
15,Electricity,What component actually generates the electricity supplied to the grid?,The steam generator.,The turbine.,The alternator (generator).,The transformer.,2
16,Radiation,Why is spent nuclear fuel significantly more radioactive than fresh fuel?,It contains large quantities of radioactive fission products formed during reactor operation.,It absorbs radiation from the reactor vessel over time.,The uranium atoms become naturally more unstable as they age.,It contains a much higher concentration of uranium-235 than fresh fuel.,0
17,Radiation,How can radioactive materials cause damage to living tissue?,They increase body temperature until cells are destroyed.,They emit ionising radiation that damages or destroys living cells.,They react chemically with blood to produce toxic compounds.,They absorb oxygen from surrounding tissues.,1
18,Radiation,Why is iodine-131 considered particularly hazardous following a nuclear accident?,It emits the highest-energy gamma radiation of any fission product.,It accumulates in the thyroid gland where its radiation can damage tissue.,It reacts explosively with water to produce radioactive gases.,It remains dangerously radioactive for thousands of years.,1
19,Waste,What happens to nuclear fuel after it has been used in the reactor?,It is immediately buried underground in a geological repository.,It is chemically recycled into fresh uranium fuel on site.,It becomes spent fuel and must be stored safely while its radioactivity decreases.,It is melted down and reused in the reactor without further processing.,2
20,Waste,How is high-level radioactive waste stored once it has been removed from the reactor?,It is pumped into underground concrete chambers immediately after removal.,It is stored in robust heavily shielded storage containers designed to contain radiation safely.,It is released into the atmosphere in controlled quantities.,It is dissolved in water and stored in large cooling towers.,1
21,Waste,Why is the volume of high-level nuclear waste considered relatively small?,Because most radioactive waste is released safely into the atmosphere.,Because only a small amount of nuclear fuel is required to produce a very large amount of energy.,Because spent fuel rapidly decays into stable elements within a few weeks.,Because modern reactors recycle all radioactive waste on site.,1
22,Safety,Why is the reactor containment building constructed with such thick reinforced shielding?,To increase the pressure inside the reactor vessel.,To reduce the amount of uranium fuel required during operation.,To improve the efficiency of the reactor by reducing heat loss.,To protect the reactor from external hazards and help contain radioactive material in the event of an accident.,3
23,Safety,What is meant by defence in depth in the design of a nuclear reactor?,Using multiple independent safety barriers so that no single failure leads to the release of radioactive material.,Building several reactors at the same site so that power generation can continue during maintenance.,Installing duplicate turbines to improve electrical reliability.,Using thicker fuel rods to reduce the chance of fuel failure.,0
24,Safety,Why are refuelling operations carried out using strict procedures and multiple safety checks?,To minimise the time the reactor is offline.,Because fuel assemblies are extremely expensive to manufacture.,To reduce the risk of accidents and ensure the safe handling of radioactive materials.,To maximise the amount of fuel replaced during each outage.,2
25,Fuel Cycle,How does fresh nuclear fuel arrive at a nuclear power station before it is loaded into the reactor?,By rail in shielded wagons.,By cargo aircraft in reinforced containers.,By road in specially designed transport containers.,By pipeline directly from the fuel processing plant.,2
26,Fuel Cycle,Where is fresh fuel stored before it is loaded into the reactor core?,In the spent fuel pool until required.,In dry protected storage before being transferred for loading.,Inside the containment building next to the reactor vessel.,In underground storage vaults beneath the reactor.,1
27,Fuel Cycle,What happens to fuel assemblies during a routine reactor refuelling outage?,All fuel assemblies are replaced with new ones.,The reactor is emptied completely before being refilled with fresh fuel.,Only a proportion of the fuel assemblies are replaced while the remainder continue to be used.,Spent fuel is immediately transported to a permanent geological repository.,2
28,Big Picture,Why is nuclear power considered an efficient source of electricity compared with fossil fuels?,It requires very little cooling water during operation.,It can generate a large amount of electricity from a relatively small quantity of fuel.,Its turbines operate at much higher temperatures than fossil-fuel power stations.,It converts all of the energy released during fission into electricity.,1
29,Big Picture,Why do modern nuclear power stations use a pressurised water reactor design?,Because the reactor vessel can operate without any coolant.,Because the design reduces the need for shielding around the reactor.,Because separate water circuits improve safety and reliability while preventing radioactive coolant reaching the turbine.,Because the reactor operates entirely using natural uranium without enrichment.,2
30,Big Picture,"After watching this video, what is the main role of a nuclear power station?",To produce radioactive materials for industrial and medical applications.,To convert nuclear energy into heat then into electrical energy.,To store radioactive waste safely for long-term disposal.,To produce steam directly through nuclear fusion.,1
